iter	F1	Logloss
107	0.6484430356	0.4711566559
108	0.648590588	0.4710062118
109	0.6491031265	0.4708082458
110	0.6493364274	0.4706290285
111	0.6493425219	0.4704182357
112	0.6497030182	0.4701922557
113	0.6500409683	0.4700117717
114	0.6502347855	0.4698640333
115	0.6503782914	0.4696450447
116	0.6504309623	0.4694237466
117	0.6509111342	0.4692039684
118	0.6509332122	0.4690872541
119	0.6513120662	0.4688673561
120	0.6513803144	0.4687115247
121	0.6516403818	0.4685453076
122	0.651634111	0.4683413868
123	0.6517310699	0.4681515925
124	0.6519548892	0.4680437437
125	0.6519920905	0.4678832253
126	0.6527980943	0.4676755682
127	0.653219475	0.4675179701
128	0.653401396	0.467300858
129	0.6535420473	0.4670874705
130	0.6537375511	0.4669239183
131	0.6539116722	0.4667498391
132	0.654377229	0.4665480666
133	0.6546417047	0.4663252836
134	0.654916519	0.4661164499
135	0.6551751045	0.4659260132
136	0.6553567382	0.4657406788
137	0.6553939326	0.4655891316
138	0.6556200622	0.4654258606
139	0.6559551438	0.4652023532
140	0.6561780734	0.4650710423
141	0.6565007907	0.4649051444
142	0.6567015668	0.4647390417
143	0.6569825932	0.4646203245
144	0.6572037327	0.4644862219
145	0.6575936123	0.4643054376
146	0.6577769863	0.4641194864
147	0.657893077	0.4638927148
148	0.6582584543	0.4637176614
149	0.6585546707	0.4635071684
150	0.6585988017	0.4633737246
151	0.6588088686	0.463216309
152	0.658951991	0.4630177638
153	0.6590335036	0.4628750323
154	0.6590394789	0.46272833
155	0.6591441219	0.4626012251
156	0.6595243308	0.4623452674
157	0.659506083	0.4621182094
158	0.6596256327	0.4620014206
159	0.6596743256	0.4618382861
160	0.6598331311	0.4616823404
161	0.6600206205	0.4614796544
162	0.6603085138	0.4613098507
163	0.6605890967	0.4611727588
164	0.6607558043	0.4610453022
165	0.6608211862	0.4608831083
166	0.6609740272	0.4606786809
167	0.6611195159	0.4605112826
168	0.6612756712	0.4603681782
169	0.6616080927	0.4601982309
170	0.6615070256	0.4600504593
171	0.6617229387	0.4598838864
172	0.6620306187	0.4597522051
173	0.6621193811	0.4595607771
174	0.6621542476	0.4594096496
175	0.6621464822	0.4592712693
176	0.6626006018	0.4591461286
177	0.6626222497	0.4590089222
178	0.662881876	0.4588536121
179	0.6630351002	0.4586910469
180	0.663332296	0.4585315519
181	0.6634953801	0.4584044905
182	0.6639458402	0.458232237
183	0.664061603	0.458079884
184	0.6644694939	0.4579199406
185	0.6645611099	0.4578098538
186	0.6647193624	0.4576166752
187	0.6647836436	0.4574853606
188	0.6648675263	0.4573255406
189	0.6651122165	0.4571415834
190	0.6651862708	0.4569904418
191	0.6654823237	0.456826544
192	0.6655934154	0.4567267638
193	0.6658301037	0.4566009784
194	0.6659633615	0.4564269242
195	0.6661040288	0.4562982001
196	0.6661657419	0.4561314918
197	0.6663138142	0.4560178803
198	0.6663854102	0.4559007185
199	0.6665556505	0.4557935478
200	0.6669995746	0.4556442384
201	0.6672091251	0.4554962075
202	0.6674605405	0.4553544113
203	0.6677072391	0.4551665858
204	0.6679857831	0.4550604364
205	0.6680793938	0.4549462461
206	0.6683949896	0.4548280165
207	0.6686094243	0.4546797412
